feature_name,category,data_type,min_value,max_value,mean_value,median_value,std_value,missing_count,missing_pct,unique_values
total_spend,Original,float64,0.0,5349.17,1026.2535663486558,937.92,793.1316588533595,0,0.0,4907
cancellation_rate,Original,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1
years_active_adjusted,Original,float64,0.082135523613963,1.7713894592744694,0.27388528452692823,0.2765229295003422,0.09585163982656099,0,0.0,224
estimated_annual_clv,Original,float64,0.0,37038.785,4061.1802445157205,3540.9801623376625,3524.326610027,0,0.0,5039
clv_quartile,Original,int64,1,4,2.4997398091934087,2.0,1.1182085164270066,0,0.0,4
clv_segment,Original,object,,,,,,723,12.54119687771032,4
total_all_bookings,Booking Pattern,int64,0,14,3.8367736339982654,4.0,2.6351532430644515,0,0.0,15
flight_only_bookings,Booking Pattern,int64,0,3,0.2326105810928014,0.0,0.48235147378952264,0,0.0,4
hotel_only_bookings,Booking Pattern,int64,0,3,0.24943625325238508,0.0,0.4913037414690815,0,0.0,4
flight_only_rate,Booking Pattern,float64,0.0,1.0,0.07441654952929888,0.0,0.19477311964711042,0,0.0,21
hotel_only_rate,Booking Pattern,float64,0.0,1.0,0.09467629845340166,0.0,0.23350768318887263,0,0.0,21
package_booking_rate,Booking Pattern,float64,0.0,0.5,0.3527475916200981,0.4444444444444444,0.19559598534495187,0,0.0,15
hotel_booking_rate,Booking Pattern,float64,0.0,1.0,0.25875989482234063,0.25,0.1793557845949413,0,0.0,32
uses_both_channels,Booking Pattern,bool,False,True,0.7946227233304424,1.0,0.40401208413384115,0,0.0,2
channel_diversity_score,Booking Pattern,int64,0,7,1.7210754553339116,2.0,1.3156750834011957,0,0.0,8
preferred_channel,Booking Pattern,object,,,,,,0,0.0,4
is_flight_focused,Booking Pattern,bool,False,True,0.03156981786643539,0.0,0.17486700267324845,0,0.0,2
is_hotel_focused,Booking Pattern,bool,False,True,0.05117085862966175,0.0,0.22036520878674154,0,0.0,2
is_package_traveler,Booking Pattern,bool,False,False,0.0,0.0,0.0,0,0.0,1
is_hotel_only_traveler,Booking Pattern,bool,False,True,0.04995663486556808,0.0,0.2178742837786198,0,0.0,2
active_months,Engagement,float64,1.0,21.256673511293634,3.2868004366788894,3.318275154004106,1.1498665243580164,0,0.0,224
sessions_per_month,Engagement,float64,0.32930834621329214,9.0,2.5334934224970227,2.2971698113207553,1.0422662334298851,0,0.0,681
days_since_last_session,Engagement,int64,-1,64,9.538768430182133,10.0,3.540451900917301,0,0.0,45
days_since_last_booking,Engagement,float64,-2.6999999999999997,97.05,14.982775368603642,15.149999999999999,5.303191914495904,0,0.0,255
booking_velocity,Engagement,float64,0.0,12.0,1.2666929440113854,1.127314814814815,0.9973852797471522,0,0.0,960
browse_to_book_ratio,Engagement,float64,0.5,10.0,3.059158130584844,2.0,2.363052554230624,0,0.0,56
booking_conversion_rate,Engagement,float64,0.0,2.0,0.5155258194633736,0.5,0.3516701697425682,0,0.0,57
avg_days_between_bookings,Engagement,float64,-18.0,647.0,53.30639100323402,36.333333333333336,43.79023306839156,0,0.0,771
is_active_booker,Engagement,bool,False,True,0.8744145706851691,1.0,0.3314102908961603,0,0.0,2
cancellation_frequency,Engagement,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1
has_recent_cancellation,Engagement,bool,False,False,0.0,0.0,0.0,0,0.0,1
days_since_last_cancellation,Engagement,float64,,,,,,5765,100.0,0
avg_transaction_value,Financial,float64,0.0,1765.08,235.312920994198,240.80499999999998,142.4980638322942,0,0.0,4899
flight_transaction_avg,Financial,float64,0.0,1765.08,303.4772931070086,310.16499999999996,219.23107491644564,0,0.0,4700
hotel_transaction_avg,Financial,float64,0.0,585.0,144.58969850906539,144.0,92.73327569222653,0,0.0,1341
is_high_value_customer,Financial,bool,False,True,0.2501300954032957,0.0,0.43312535316288264,0,0.0,2
trip_duration_preference,Travel Style,category,,,,,,1031,17.883781439722462,4
avg_party_size,Travel Style,float64,0.0,1.0,0.8246313963573287,1.0,0.380315061169649,0,0.0,2
party_size_category,Travel Style,category,,,,,,1011,17.536860364267127,1
return_flight_preference_rate,Travel Style,float64,0.0,1.0,0.7888968735803081,1.0,0.390359010663813,0,0.0,10
prefers_long_stays,Travel Style,bool,False,True,0.14414570685169123,0.0,0.3512678823802755,0,0.0,2
is_group_traveler,Travel Style,bool,False,False,0.0,0.0,0.0,0,0.0,1
bags_per_trip,Travel Style,float64,0.0,3.0,0.45315202577127983,0.5,0.4601268901885789,0,0.0,25
avg_seats_per_flight,Travel Style,float64,0.0,1.0,0.8246313963573287,1.0,0.380315061169649,0,0.0,2
flight_discount_utilization,Discount Sensitivity,float64,-4.010232901403653,0.9848138633815411,-0.03679806788998865,0.0,0.47927197076038686,0,0.0,4698
hotel_discount_utilization,Discount Sensitivity,float64,-2.6619718309859155,0.8497652582159625,-0.06052047597654281,0.0,0.43227914778442994,0,0.0,1340
avg_discount_amount,Discount Sensitivity,float64,0.0,225.545,23.728682547855914,0.0,42.32819837106485,0,0.0,2057
discount_dependency_score,Discount Sensitivity,float64,-2.0096456055054697,0.7935072330658296,-0.048659271933265726,0.0,0.3218546327255365,0,0.0,4944
price_sensitivity_index,Discount Sensitivity,float64,-4.708076643220955,0.9506508205998868,0.11361165158283522,0.11650092974371418,0.36215560275654757,0,0.0,4898
is_discount_hunter,Discount Sensitivity,bool,False,True,0.2409366869037294,0.0,0.4276890562662108,0,0.0,2
discount_to_spend_ratio,Discount Sensitivity,float64,0.0,14.780144167758847,0.1056652085783679,0.0,0.46047212204246063,0,0.0,2078
sessions_with_flight_discount,Discount Sensitivity,int64,0,0,0.0,0.0,0.0,0,0.0,1
sessions_with_hotel_discount,Discount Sensitivity,int64,0,0,0.0,0.0,0.0,0,0.0,1
discount_usage_rate,Discount Sensitivity,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1
