feature_name,data_type,min_value,max_value,mean_value,median_value,std_value,missing_count,missing_pct,unique_values,category
discount_dependency_score,float64,-2.0096456055054697,0.7935072330658296,-0.048659271933265726,0.0,0.3218546327255365,0,0.0,4944,behavioral_score
discount_to_spend_ratio,float64,0.0,14.780144167758849,0.1056652085783679,0.0,0.46047212204246063,0,0.0,2076,financial
discount_usage_rate,float64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,booking_pattern
estimated_annual_clv,float64,0.0,37038.785,4061.1802445157205,3540.9801623376625,3524.326610027,0,0.0,5039,financial
flight_discount_utilization,float64,-4.010232901403653,0.9848138633815412,-0.03679806788998865,0.0,0.4792719707603868,0,0.0,4698,booking_pattern
flight_only_bookings,int64,0.0,3.0,0.2326105810928014,0.0,0.48235147378952264,0,0.0,4,booking_pattern
flight_only_rate,float64,0.0,1.0,0.07441654952929887,0.0,0.1947731196471104,0,0.0,21,booking_pattern
hotel_discount_utilization,float64,-2.6619718309859155,0.8497652582159625,-0.06052047597654281,0.0,0.43227914778442994,0,0.0,1340,booking_pattern
hotel_enthusiast_score,float64,0.0,0.7,0.17671809663787114,0.14285714285714285,0.14495962875902765,0,0.0,105,behavioral_score
hotel_only_bookings,int64,0.0,3.0,0.24943625325238508,0.0,0.4913037414690815,0,0.0,4,booking_pattern
hotel_only_rate,float64,0.0,1.0,0.09467629845340164,0.0,0.23350768318887263,0,0.0,21,booking_pattern
median_session_duration_minutes,float64,0.3583333333333333,5.125,1.568074588031223,1.4833333333333334,0.6345152904506877,0,0.0,476,engagement
package_booking_rate,float64,0.0,0.5,0.3527475916200981,0.4444444444444444,0.19559598534495187,0,0.0,15,booking_pattern
price_sensitivity_index,float64,-4.708076643220955,0.9506508205998868,0.11361165158283522,0.1165009297437141,0.36215560275654757,0,0.0,4898,financial
propensity_exclusive_discount,float64,0.15032314718921655,0.8435311608615297,0.715952890636855,0.7136788870096327,0.05265372512830153,0,0.0,4944,perk_propensity
propensity_free_bag,float64,0.0,1.0,0.1510506752570933,0.16666666666666666,0.1533756300628596,0,0.0,25,perk_propensity
propensity_free_hotel_night,float64,0.0,1.0,0.7233206912582454,0.911111111111111,0.3883846972639743,0,0.0,16,perk_propensity
propensity_hotel_meal,float64,0.0,0.6349404761904762,0.2073944425286576,0.20892857142857146,0.13372293548977218,0,0.0,842,perk_propensity
propensity_no_cancel_fee,float64,0.4,0.4,0.4,0.4,0.0,0,0.0,1,perk_propensity
recency_score,int64,1.0,5.0,3.027580225498699,3.0,1.406131533318016,0,0.0,5,rfm
sessions_per_month,float64,0.3293083462132921,9.0,2.5334934224970227,2.2971698113207557,1.0422662334298851,0,0.0,674,engagement
sessions_with_flight_discount,int64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,booking_pattern
sessions_with_hotel_discount,int64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,booking_pattern
total_bags,float64,0.0,8.0,1.0419774501300954,1.0,1.1007411433774485,0,0.0,9,travel_style
total_cancellations,int64,0.0,0.0,0.0,0.0,0.0,0,0.0,1,travel_style
total_flight_spend,float64,0.0,4846.17,696.2445464006938,625.51,603.3559651514641,0,0.0,4698,booking_pattern
total_flights_booked,int64,0.0,7.0,1.9099739809193408,2.0,1.3818414742062208,0,0.0,8,booking_pattern
total_hotel_nights,float64,0.0,35.0,6.014397224631396,5.0,5.520980817426432,0,0.0,34,booking_pattern
total_hotel_spend,float64,0.0,1624.0,330.00901994796186,288.0,268.7520190298939,0,0.0,991,booking_pattern
total_hotels_booked,int64,0.0,7.0,1.9267996530789246,2.0,1.3435732246487126,0,0.0,8,booking_pattern
total_page_clicks,int64,11.0,253.0,108.90164787510841,106.0,34.63679202757299,0,0.0,207,engagement
total_sessions,int64,2.0,11.0,7.477189939288812,8.0,0.9812830683719678,0,0.0,10,engagement
